Date,Amount,Description,Category
07/18/2019,8.82,Brunch Restaurant,Restaurants
07/19/2019,28,Mexican Restaurant,Restaurants
07/22/2019,26.67,Thai Restaurant,Restaurants
07/23/2019,257.08,Credit Card Payment,Credit Card Payment
07/24/2019,2.5,Starbucks,Coffee Shops
07/27/2019,30,Barbershop,Haircut
07/28/2019,44.31,Hardware Store,Home Improvement
07/29/2019,5.35,Grocery Store,Groceries
07/29/2019,44.92,Fancy Restaurant,Restaurants
07/30/2019,15.77,Grocery Store,Groceries
07/30/2019,75,Internet Service Provider,Internet
08/01/2019,13.09,Amazon,Shopping
08/02/2019,1100,Mortgage Payment,Mortgage & Rent
08/03/2019,36.36,BP,Gas & Fuel
08/03/2019,3.96,Grocery Store,Groceries
08/03/2019,23.47,American Tavern,Restaurants
08/04/2019,13.9,Netflix,Television
08/06/2019,521.17,Credit Card Payment,Credit Card Payment
08/06/2019,117.65,Credit Card Payment,Credit Card Payment
08/06/2019,125,Hardware Store,Home Improvement
08/08/2019,11.72,Grocery Store,Groceries
08/09/2019,10.69,Spotify,Music
08/09/2019,30,Gas Company,Utilities
08/12/2019,65,Phone Company,Mobile Phone
08/12/2019,26.67,Thai Restaurant,Restaurants
08/14/2019,2.75,Starbucks,Coffee Shops
08/15/2019,335.2,Credit Card Payment,Credit Card Payment
08/15/2019,60,Power Company,Utilities
08/16/2019,35,City Water Charges,Utilities
08/17/2019,33.15,Grocery Store,Groceries
08/17/2019,19,Barbershop,Haircut
08/17/2019,3.5,American Tavern,Restaurants
08/19/2019,1248.95,Credit Card Payment,Credit Card Payment
08/20/2019,75,State Farm,Auto Insurance
08/20/2019,2.75,Starbucks,Coffee Shops
08/21/2019,34.69,Shell,Gas & Fuel
08/23/2019,2.75,Starbucks,Coffee Shops
08/25/2019,39.43,Brunch Restaurant,Restaurants
08/26/2019,66.75,Hardware Store,Home Improvement
08/29/2019,3,Starbucks,Coffee Shops
08/30/2019,2.75,Starbucks,Coffee Shops
08/30/2019,75,Internet Service Provider,Internet
08/31/2019,68.04,Hardware Store,Home Improvement
08/31/2019,41.78,BBQ Restaurant,Restaurants
09/01/2019,13.09,Amazon,Shopping
09/03/2019,1100,Mortgage Payment,Mortgage & Rent
09/03/2019,41.24,Fancy Restaurant,Restaurants
09/04/2019,13.9,Netflix,Television
09/05/2019,3.75,Starbucks,Coffee Shops
09/06/2019,1390.37,Credit Card Payment,Credit Card Payment
09/06/2019,502.75,Credit Card Payment,Credit Card Payment
09/09/2019,28.77,Shell,Gas & Fuel
09/09/2019,65.09,Grocery Store,Groceries
09/09/2019,26.25,Hardware Store,Home Improvement
09/09/2019,10.69,Spotify,Music
09/09/2019,30,Gas Company,Utilities
09/11/2019,65,Phone Company,Mobile Phone
09/12/2019,360.56,Credit Card Payment,Credit Card Payment
09/13/2019,2.75,Starbucks,Coffee Shops
09/14/2019,46.44,Grocery Store,Groceries
09/15/2019,47.66,Amazon,Shopping
09/16/2019,90.57,Credit Card Payment,Credit Card Payment
09/16/2019,35,City Water Charges,Utilities
09/17/2019,60,Power Company,Utilities
09/18/2019,75,State Farm,Auto Insurance
09/18/2019,1606.46,Credit Card Payment,Credit Card Payment
09/19/2019,2.75,Starbucks,Coffee Shops
09/22/2019,131.1,Seafood Restaurant,Restaurants
09/23/2019,9.43,Credit Card Payment,Credit Card Payment
09/23/2019,27.71,Grocery Store,Groceries
09/23/2019,24.63,Amazon,Shopping
09/28/2019,33.46,BP,Gas & Fuel
09/28/2019,4.27,Sheetz,Gas & Fuel
09/30/2019,1.75,Starbucks,Coffee Shops
09/30/2019,75,Internet Service Provider,Internet
